temperature,time_of_day,will_buy
16,19,1
29,3,0
38,4,1
24,22,0
20,6,1
17,12,1
38,14,1
30,10,1
16,3,0
35,12,1
28,6,0
32,18,1
20,21,1
20,1,1
33,9,0
30,12,1
13,20,0
17,5,0
33,11,1
12,11,1
31,19,0
30,10,0
11,22,0
33,6,1
21,0,0
39,0,0
15,19,0
11,12,1
37,8,1
30,2,0
10,6,0
21,5,0
35,7,0
31,8,0
38,4,0
21,0,0
34,18,1
26,9,0
36,11,1
36,23,0
40,14,1
19,21,0
37,23,0
37,8,1
25,19,1
24,16,0
39,16,1
39,19,0
24,11,1
39,6,1
28,1,0
21,2,1
32,16,1
29,4,1
34,16,1
12,23,0
14,16,1
28,16,1
16,1,0
30,1,0
18,21,0
16,22,1
27,4,0
13,0,0
34,0,0
37,18,1
23,1,0
27,20,0
35,11,1
18,5,0
35,22,0
30,3,1
11,22,0
29,10,0
37,23,0
24,16,1
37,5,0
16,23,0
21,4,1
38,19,1
17,1,0
24,5,0
12,21,0
23,10,0
26,15,1
13,15,0
27,0,0
17,8,0
13,5,0
11,15,1
39,2,0
15,19,0
31,3,1
19,18,1
13,2,0
31,18,1
38,19,1
40,6,0
27,19,0
35,8,1
21,0,0
11,7,0
19,6,1
39,17,1
13,7,0
23,0,1
40,10,1
25,17,1
24,22,0
17,9,0
23,2,1
32,6,1
37,15,1
34,15,1
39,19,1
17,16,0
30,1,0
25,0,0
22,15,0
27,11,0
24,4,0
30,4,1
33,22,1
35,8,0
34,8,0
37,2,0
37,18,1
37,15,1
22,15,1
18,2,0
38,19,1
24,23,0
22,21,0
10,23,0
34,0,0
16,23,0
18,19,0
33,10,1
10,16,1
21,7,0
17,3,0
33,5,1
40,7,1
20,19,0
28,2,0
26,15,1
17,2,0
12,17,1
12,13,1
10,17,1
36,1,1
14,21,0
19,2,0
16,15,0
35,8,1
18,3,0
37,0,0
16,3,0
18,0,0
17,13,1
21,20,0
11,15,1
10,19,0
25,23,1
32,7,1
32,6,0
39,2,1
33,16,1
14,0,0
12,15,1
21,11,1
17,18,1
31,21,0
36,22,0
12,21,0
10,13,1
12,5,0
14,5,0
24,12,0
23,18,0
12,21,1
10,7,0
14,1,0
35,20,0
32,0,1
40,14,1
23,0,0
16,4,0
36,15,1
18,18,0
24,3,0
24,2,0
35,16,1
19,16,0
37,11,1
22,13,1
28,20,0
40,5,1
16,2,0
26,8,1
